video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
Easy Shawarma Recipe from Scratch | Perfect for Beginners...  #shawarmarecipe  #easyrecipes,PT12M6S,2024-08-18 17:00:41+00:00,1127,70,4,2024-08-21 10:30:23.315683+00:00
Pepper Oil for My Yoruba Husband | How to make aromatic chili oil #chilioil #pepper,PT8M1S,2024-08-13 07:07:21+00:00,6691,90,8,2024-08-21 10:30:24.288062+00:00
How to Make Onunu and Palm Oil Stew Recipe from Scratch | Beginner-Friendly #nigeriancuisine,PT10M45S,2024-07-21 17:00:00+00:00,2131,110,15,2024-08-21 10:30:24.907297+00:00
How to Make Custard Popsicles from Scratch | Easy Recipe for Beginners,PT9M44S,2024-07-14 17:00:40+00:00,1086,57,6,2024-08-21 10:30:25.517907+00:00
How to Make Fluffy Pancakes Using Custard Powder - Easy Recipe for Beginners!...#checkers #pancakes,PT10M30S,2024-07-08 10:33:27+00:00,1360,77,11,2024-08-21 10:30:26.128876+00:00
"Tried the Viral Cucumber Stew VS Golden Melon Stew, See what we Prefer #cucumberstew #newrecipe",PT8M11S,2024-06-27 17:40:18+00:00,12156,149,29,2024-08-21 10:30:26.728863+00:00
Easy Gizzard Sauce Recipe for Beginners | Step-by-Step Cooking Guide.. #gizzardrecipe #easycooking,PT8M56S,2024-06-23 17:00:33+00:00,2631,140,16,2024-08-21 10:30:27.362287+00:00
Do this with your Leftover EBA #recipe #garritacos #newrecipe #tacos,PT8M7S,2024-06-19 09:48:15+00:00,2715,111,23,2024-08-21 10:30:28.130269+00:00
Pumpkin Seeds Soup Recipe for beginners.... #nigeriarecipe  #pumpkinsouprecipe  #beginnerrecipes,PT9M18S,2024-06-14 15:01:41+00:00,3813,149,30,2024-08-21 10:30:28.730272+00:00
PRAISE ALTAR 1 | Eze Idikwa Itunanya | Moriowo re | Kai kade | Oyegbe BoBo Vmen | Chukwu rim azun,PT4M55S,2024-06-07 08:00:27+00:00,14904,1176,168,2024-08-21 10:30:29.266867+00:00
How to Make Creamy Almond Soup: Step-by-Step Process for Beginners....#AlmondSoup #CreamyAlmondSoup,PT8M45S,2024-05-30 12:27:18+00:00,3685,182,44,2024-08-21 10:30:30.026871+00:00
Easy Cookies Recipe for Children's Day | Step-by-Step Guide for Beginners..#checkers  #CookiesRecipe,PT8M3S,2024-05-27 11:47:52+00:00,1637,54,5,2024-08-21 10:30:30.571703+00:00
Best version of Banga soup (Ofe Akwu) with a rare traditional ingredient.. #checkers   #palmnutsoup,PT11M55S,2024-05-19 15:04:10+00:00,3401,102,24,2024-08-21 10:30:31.157179+00:00
How to make Sosaties (Curry Chicken Kebabs)|Step-by-Step Guide for Beginners #Chickencurrykebabas,PT13M15S,2024-05-09 12:21:13+00:00,1423,88,19,2024-08-21 10:30:31.873816+00:00
Easy Oha Soup Recipe (No Native Thickener) | Beginner Friendly #recipe #nigeriansoup  #ohasoup #fyp,PT9M3S,2024-05-06 13:43:43+00:00,4293,146,35,2024-08-21 10:30:32.493230+00:00
No-Oven Simple Bread Recipe (Dombolo) for Beginners | Step-by-Step Guide #bread   #breadrecipe,PT11M46S,2024-04-29 23:26:38+00:00,4674,209,38,2024-08-21 10:30:33.082030+00:00
How to Make South African Bunny Chow: Step-by-Step Guide for Beginners... #southafrica  #checkers,PT10M55S,2024-04-25 18:25:48+00:00,1454,44,4,2024-08-21 10:30:33.716481+00:00
How to Make Authentic South African Mala Mogodu/Tripe | Step-by-Step Tutorial.. #foodtutorial,PT9M20S,2024-04-21 14:53:52+00:00,2520,72,9,2024-08-21 10:30:34.317126+00:00
How to make Milky Doughnuts. Step by Step process for a beginner #custardfilling  #doughnutrecipe,PT13M17S,2024-04-19 11:08:30+00:00,5459,290,65,2024-08-21 10:30:34.925659+00:00
South Africa vs Nigeria Pap: Who Makes the Best Pap? #checkers   #southafricanfood  #southafrica,PT8M54S,2024-04-17 13:23:15+00:00,2475,56,14,2024-08-21 10:30:35.553819+00:00
How to make South African CHAKALAKA   #foodtourism #southafricanfood @siyamthandandamase8582,PT10M30S,2024-04-14 11:33:00+00:00,968,58,9,2024-08-21 10:30:36.187329+00:00
How to Cook South African Bobotie #southafricanfood #mincedmeat @OwamieEntertainment,PT10M38S,2024-04-10 17:00:01+00:00,1791,78,14,2024-08-21 10:30:36.732379+00:00
HOW I MADE THE BIGGEST AND MOST EXPENSIVE PARFAIT IN NIGERIA #parfait #dessert,PT12M8S,2024-04-07 13:30:19+00:00,3679,148,27,2024-08-21 10:30:37.391536+00:00
How to make South African Kota/Spatlo | the most intriguing Sandwich to a Nigerian ft @centtwinz,PT14M58S,2024-04-03 11:57:17+00:00,1644,80,15,2024-08-21 10:30:38.127502+00:00
How to cook Quarter Bag of Fried Rice For Beginners | Free Food for my area people this #easter,PT8M13S,2024-04-02 17:51:24+00:00,4595,179,20,2024-08-21 10:30:39.458334+00:00
HOW TO COOK CHICKEN CURRY SAUCE FOR BEGINNERS #currysauce #iftarrecipe #iftar #easter,PT9M7S,2024-03-31 07:04:33+00:00,5791,217,36,2024-08-21 10:30:40.675524+00:00
HOW TO MAKE SOUTH AFRICAN CHICKEN POTJIEKOS #southafrica #africanrecipes,PT12M45S,2024-03-27 17:00:01+00:00,2779,82,10,2024-08-21 10:30:41.187526+00:00
"How to cook Delicious, moimoi and milk custard. #MoiMoiRecipe#NigerianCuisine #CookingTutorial",PT8M2S,2024-03-25 19:01:52+00:00,3030,109,16,2024-08-21 10:30:41.788833+00:00
